First name,Last name,Preferred title,Overview,Position,Department,Individual
Marcetta,Darensbourg,Distinguished Professor,"Bio-inspired Catalysts for Hydrogen Production: The ultimate, home-run, goal of our work is to synthesize and develop a robust, highly active hydrogen-producing catalyst comprised of earth-abundant transition metals within a ligand environment that is inspired by the biological Figure 3hydrogenase (H2ase) enzyme active sites. Progress in precise structural modeling of the illusive ""rotated"" structure displayed in the as-isolated, mixed-valent FeIIFe state in the past decade has permitted in depth analysis of electronic structure by Mo ssbauer, EPR (ENDOR), and computational chemistry.  New electrocatalysts for hydrogen production: The connection between the Fe(NO)2 unit and the Fe(CX)3 (X = O or N) unit found in hydrogenase enzyme active sites offers opportunity for design of new catalysts, one of which is shown. In this regard we explore the ability of N2S2 metal complexes to bind as metallodithiolate ligands to various metal acceptors. The properties of such complexes vary The connection of these to light harvesting molecules for dye sensitized, sacrificial electron donor, hydrogen production is also of interest.  When Iron Meets Nitric Oxide: Good Chemistry, Intriguing Biology. The affinity of iron for diatomic molecules, O2, CO, N2, and NO, is central to the most important of life processes, including those of human physiology. Figure 6In this research area we target synthetic chemistry involving dinitrosyl iron complexes (DNICs) that serve as biomimetics of products of FeS cluster degradation by excesses of NO, or as derived from the chelatable iron pool (CIP) in cells. The electronic ambivalence of the DNIC unit is expressed in the ease with which it interconverts between oxidized and reduced forms, {Fe(NO)2}9 and {Fe(NO)2}10, respectively (Enemark/Feltham notation), and serves as impetus to explore analogous reactions known to involve the CuII/CuI redox couple. The accessory ligands which stabilize one redox level over the other, including N-heterocyclic carb",Distinguished Professor||Faculty Affiliate,Energy Institute||Chemistry,https://scholars.library.tamu.edu/vivo/display/n6f445741
Prabir,Daripa,Professor,"My research interests are, broadly speaking, applied and computational science with a goal towards solving pressing problems of today. We solve and investigate applied problems and application driven basic problems using a plethora of theoretical and numerical tools. We also explore the possibility of useful changes in various applied fields by developing new as well as by making use of existing algorithms, applicable knowledge and software.<br /><br /><br /><br />Specific research interests are in fluid mechanics of simple and complex fluids, interface problems, numerical methods, scientific computing, fast algorithms, inverse problems, and many other classical areas of applied mathematics. Such problems arise in host of important areas such as petroleum engineering, health and biological sciences, earth and environmental sciences, space exploration, neuroscience and cognitive science, and so on. With over three decades of experience in applied, engineering and computational mathematics, we are ready to help solve pressing problems of tomorrow in collaboration with colleagues, undergraduate and graduate students, and postdoctoral scholars. In application areas, we are exploring ways to develop efficient and fast methods for multiphase flows, in particular porous media flows that arise in the context of chemical enhanced oil recovery. We are also interested in high Reynolds number multi-phase flows. We are working on the development, implementation and application of analysis based fast boundary integral type methods. Another area of current interest is in control of instabilities in fluid flows such as in mixing, viscous fingering and channeling. We are also interested in the development of probabilistic methods and techniques including use of data driven and Bayesian scientific computing, reduced order modeling, uncertainty quantification, deep learning and other modern numerical methods.",Faculty Affiliate||Professor,Mathematics||Energy Institute,https://scholars.library.tamu.edu/vivo/display/n146ac380
Gayden,Darnell,Instructional Associate Professor,,Instructional Associate Professor,Health and Kinesiology,https://scholars.library.tamu.edu/vivo/display/n62fe3539
Sayantan,Das,Lecturer,,"TEES Researcher at TAMU-San Antonio||Lecturer, Department of Mathematical, Physical, and Engineering Sciences","Texas A&M University – San Antonio - (San Antonio, Txas, United States)||Texas A&M University – San Antonio - (San Antonio, Texas, United States)||TEES Regional Divisions",https://scholars.library.tamu.edu/vivo/display/n9af56871
Subasish,Das,TTI Assistant Research Scientist,,TTI Assistant Research Scientist,Texas A&M Transportation Institute (TTI),https://scholars.library.tamu.edu/vivo/display/n672a228d
Sutanoy,Dasgupta,Visiting Assistant Professor,,Visiting Assistant Professor,Statistics,https://scholars.library.tamu.edu/vivo/display/n157c3788
Roderick,"Dashwood, PhD, FRSB",Professor and Director,"The current focus is on integrating genetic/epigenetic/immune mechanisms in colorectal cancer etiology.  The genetic basis of oncology is studied using cultured human cancer cells and preclinical approaches, including the Apc-mutant polyposis in rat colon (Pirc) model coupled to a novel murine  polypectomy methodology.  Epigenomic aspects are studied through alterations in epigenetic 'readers', 'writers' and 'erasers', via combined deacetylase plus bromodomain inhibition, which also modulates immune-related players in cancer cells. Deacetylase/bromodomain expression and protein acetylation changes also are examined in clinical specimens, organoids, 3D spheroids, and human volunteers undergoing colonoscopy, thereby providing clinical translation of the research.",Professor and Director,Center for Epigenetics and Disease Prevention,https://scholars.library.tamu.edu/vivo/display/n7a63dbe7
Aniruddha,Datta,Professor,"My research focuses on adaptive control, parametric robust control, and genomic signal processing and control.",Professor||Faculty Affiliate,Energy Institute||Electrical and Computer Engineering,https://scholars.library.tamu.edu/vivo/display/n01f8748c
Sumana,Datta,Assistant Provost,"We are currently investigating how organismal level cues regulate the onset of stem cell division during development. Our primary system is the neuroblasts in the brain of the fruit fly, Drosophila melanogaster. The trol gene of Drosophila encodes the fly homolog of the mammalian heparan sulfate glycoprotein, Perlecan. Perlecan is found in mice, humans, and C. elegans, and is widely known as a co-receptor for the growth factor FGF. We have shown that Trol, the Drosophila Perlecan homolog, is required for signaling by FGF. Furthermore, we have demonstrated that Trol is also a likely candidate for the Hedgehog co-receptor. Hedgehogs are peptide growth factors which are conserved in mammals and require heparan sulfate glycoproteins for their movement and long-range signaling; however, until now the identity of the protein core was unknown. Our studies demonstrate genetic interactions between trol and hedgehog or patched mutations (patched is the Hedgehog receptor). Further studies reveal that both FGF and Hedgehog signaling activate stem cell division. Current projects involve determining how Trol stimulates FGF and Hedgehog signaling through genetic, molecular, and biochemical analyses.",Assistant Provost,Biochemistry and Biophysics,https://scholars.library.tamu.edu/vivo/display/n8ce436a7
Akhil,Dattagupta,Distinguished Professor,"I have research interests in rapid flow simulation techniques, reservoir optimization, large-scale parameter estimation via inverse methods and uncertainty quantification/ assessments.",Distinguished Professor,Petroleum Engineering,https://scholars.library.tamu.edu/vivo/display/n5e728236
Walter,Daugherity,Senior Lecturer,,Senior Lecturer,Computer Science and Engineering,https://scholars.library.tamu.edu/vivo/display/n7eaca672
Luiz,Davidovich,Research Professor,,Research Professor,Institute of Quantum Science,https://scholars.library.tamu.edu/vivo/display/n737815fd
Jacqueline,Davidson,Clinical Professor,"As a clinical-track full-professor, my appointment is designated to be approximately 70% clinical service, 10% teaching, 10% service, and 10% scholarly activity. The instructional effort is a combination of clinical, didactic and laboratory instruction of professional students, interns and residents. The service effort includes all non-student teaching and non-scholarly related activities required to enable and enhance the activities of the department, hospital, school and university. The scholarly activity effort includes publishing book chapters, case reports, journal articles, and presenting continuing education programs that demonstrate my clinical expertise and experience with large numbers of cases. <br /><br /><br /><br />My clinic time was divided between the soft tissue and orthopedic surgery services through 2015. For the first five years, I also taught for several weeks each year on the general surgery service. I directed the physical rehabilitation service from 2009 until 2018. Since 2015, my clinical appointment has been with the soft tissue surgery service, including the surgical oncology service when it was established in 2017.",Clinical Professor,Small Animal Clinical Sciences,https://scholars.library.tamu.edu/vivo/display/n54aa325a
Peter,Davies,Professor,,Interim Department Head||Professor and Director,Center for Translational Cancer Research||Translational Medical Sciences,https://scholars.library.tamu.edu/vivo/display/n83f40a4a
Alphonse,Davis,Deputy Director Agency,,Deputy Director Agency,Administration,https://scholars.library.tamu.edu/vivo/display/n861bf1b3
Amanda,Davis,Lecturer,My research focuses on chemotherapeutic myokines secreted from contracting skeletal muscle and their effects on mammary carcinogenesis.,Lecturer,Veterinary Physiology and Pharmacology,https://scholars.library.tamu.edu/vivo/display/n4ee5dacd
Brian,Davis,Research Assistant Professor,"I focus on big-data-omics, as in genomics, epigenomics, transcriptomics, and others, to address questions of basic biological processes. I am an evolutionary biologist that is interested in how genomes and organisms evolve when under natural and artificial selection, whether in natural populations or in domesticated animals. I extend this research to study cancer and heritable disease in companion and agricultural animals using very large datasets.",Research Assistant Professor,Veterinary Integrative Biosciences,https://scholars.library.tamu.edu/vivo/display/n795552bb
Carol,Davis,Associate Professor,,Associate Professor,Liberal Studies,https://scholars.library.tamu.edu/vivo/display/nbfaa5188
Danny,Davis,Senior Lecturer,,Senior Lecturer,Public Service and Administration,https://scholars.library.tamu.edu/vivo/display/nc588b428
Deidra,Davis,Instructional Assistant Professor,,Instructional Assistant Professor,Landscape Architecture and Urban Planning,https://scholars.library.tamu.edu/vivo/display/n8a00868b
Holly,Davis,Assistant Professor and Extension Specialist,,Assistant Professor and Extension Specialist,Entomology,https://scholars.library.tamu.edu/vivo/display/n06cf963a
Katherine,Davis,Assistant Professor,,Faculty Affiliate||Assistant Professor,Energy Institute||Electrical and Computer Engineering,https://scholars.library.tamu.edu/vivo/display/ne89fdd6f
Randall,Davis,Regents Professor,"Randall William Davis is an educator and researcher who studies the physiology and behavioral ecology of marine mammals and other aquatic vertebrates. His physiological research focuses on adaptations of marine mammals for deep, prolonged diving. Davis has continually emphasized the importance of studying aquatic animals in their natural environment and has spent many years developing animal-borne instruments that record video and monitor three-dimensional movements, swimming performance and environmental variables to better understand their behavior and ecology. His academic endeavors and 100 research expeditions have taken him to 65 countries and territories on seven continents and all of the world's oceans.<br /><br />https://en.wikipedia.org/wiki/Randall_William_Davis",Regents Professor||Regents Professor,Wildlife and Fisheries Sciences||Marine Biology,https://scholars.library.tamu.edu/vivo/display/nf5158696
Tim,Davis,Professor,Dr. Davis' current primary responsibility includes serving as Regional Director for Asia for the Borlaug Institute of International Agriculture at Texas A&M. He also teaches HORT 281 - Horticulture as a Profession. He has significant professional service responsibilities and serves as Chair of the Department's Promotion and Tenure Committee. His research background is in adventitious root formation and plant growth regulation.,Professor,Horticultural Sciences,https://scholars.library.tamu.edu/vivo/display/n073c22e6
Timothy,Davis,Professor - Term Appointment,"My research spans the spectrum of theory, algorithms, and software development in the area of sparse matrix and graph algorithms.  I'm not just interested in creating new methods and software prototypes to demonstrate those methods.  I pursue the code further to produce better-than-commercial-quality software that embodies these new methods.  Twelve of my codes appear as Collected Algorithms of the ACM, where they undergo rigorous peer-review testing for their research contributions and software quality.",Professor - Term Appointment,Computer Science and Engineering,https://scholars.library.tamu.edu/vivo/display/n123ebef5
Trina,Davis,Associate Professor,"Her research and teaching focus on various aspects of technology integration in teaching and learning, with an emphasis in mathematics and broader STEM education. Her work includes utilizing 3-D simulations and virtual environments/virtual reality, and exploring the intersections of creativity and technology. Recently Davis was co-principal investigator of the Knowledge for Algebra Teaching for Equity (KATE) Project.  Her scholarship includes a focus on practices to improve engagement of women and students of color in STEM disciplines. Dr. Davis is Past President of the International Society for Technology in Education (ISTE); she continues to champion issues related to digital equity, nationally and internationally.",Faculty Affiliate||Associate Professor,"Teaching, Learning and Culture||Institute for Engineering Education and Innovation",https://scholars.library.tamu.edu/vivo/display/nb9e81c28
Richard,Davison,Professor,,Professor,Visualization,https://scholars.library.tamu.edu/vivo/display/n5343217e
Meri,Davlasheridze,Assistant Professor,"My overall research focuses on economic impacts of natural disasters, vulnerability, adaptation, and general public policy concerning disaster mitigation and recovery. In my research I examine how effective federal and local disaster policies are in mitigating hurricane induced property and employment losses. I study individual and societal responses to flood risk exposure. I am interested in the behavior responses of individuals to public provision of flood protection as well as to general disaster aid. I examine long run adaptation through individuals' location choices and spatial sorting as a mechanism of adjustment to the threat of extreme events. I also examine labor market impacts of disasters and spillovers across economic sectors.",Assistant Professor,Marine Sciences,https://scholars.library.tamu.edu/vivo/display/nc9d18b4f
Joseph,Dawson,Professor,,Professor,History,https://scholars.library.tamu.edu/vivo/display/n1445f8e8
Lindsay,Dawson,Research Assistant Professor,"Using the neonate and adult mouse digit as a model for mammalian bone and tissue regeneration, my research has primarily focused on the investigation of intrinsic repair mechanisms following amputation of regeneration-incompetent structures, and the identification of strategies to transition repair mechanisms associated with scar formation into a successful regeneration response.",Research Assistant Professor,Veterinary Physiology and Pharmacology,https://scholars.library.tamu.edu/vivo/display/nd3c43e75
Leslie,Day,Instructional Associate Professor,,Instructional Associate Professor,Neuroscience and Experimental Therapeutics,https://scholars.library.tamu.edu/vivo/display/nf4f79c15
Davi,De Lima Vaz Xavier,Assistant Professor of the Practice,,Assistant Professor of the Practice,Architecture,https://scholars.library.tamu.edu/vivo/display/n7cd5a411
Paul,DeLaune,Associate Professor,"My research focuses on protecting water resources while maintaining agricultural production goals in semi-arid cropping systems.  Research topics include evaluating tillage and water management strategies and crop rotation options in various cropping systems to improve nutrient and water use efficiencies, carbon and nutrient cycling, crop yields, and subsequent soil water storage.  Working directly with producers and private and/or government agencies is crucial to identifying applied research goals and transferring results to engaged stakeholders.",Associate Professor||Associate Professor,Soil and Crop Sciences||Vernon Research and Extension Center,https://scholars.library.tamu.edu/vivo/display/na9d82ad0
Kyle,DeMars,Associate Professor,,Associate Professor,Aerospace Engineering,https://scholars.library.tamu.edu/vivo/display/nbce598b2
Thomas,DeWitt,Associate Professor,,Associate Professor,Ecology and Conservation Biology,https://scholars.library.tamu.edu/vivo/display/nb4aed80b
Paul,Dechow,Regents Professor and Associate Dean,"My research activities at the College of Dentistry (COD) have a focus on (1) the development of translational and clinical research in dentistry and (2) research on the development and biomechanics of mineralized tissues from a translational and organismal perspective. Research in my laboratory includes studies of phenotypic assessment of skeletal tissues, with an emphasis on material properties, gross and micro structure, biomechanics, and temporal and evolutionary adaptations. Methods that we use include techniques for determining 3D material properties (ultrasound, nanoindentation), 2D and 3D bone histomorphometry, 3D scanning technologies (cone beam CT, micro CT), and various biomechanical modeling techniques, such as finite element analysis. Recent projects have included studies of cranial bone adaptation during wound healing and distraction osteogenesis, and studies of phenotypic adaptations in mouse genetic models related to alterations of pathways associated with Wnt/?-catenin signaling in osteoblasts (with J. Feng) and osteoclasts (with Y. Wan). <br /><br />Mentoring Experience: 4 Postdocs; 18 PhD; 21 MS; 22 Undergrad DDS Research; 8 Undergrad BS Research; 53 Grad Advisor (as Graduate Program Director); 2 KL2 scholars",Associate Dean||Regents Professor,Office of Academic Affairs||Biomedical Sciences,https://scholars.library.tamu.edu/vivo/display/n1ec430cb
Jennifer,Deck,Clinical Assistant Professor,,Clinical Assistant Professor,Pediatric Dentistry,https://scholars.library.tamu.edu/vivo/display/n73598570
Willa,Decker,Clinical Assistant Professor,,Clinical Assistant Professor,College of Nursing,https://scholars.library.tamu.edu/vivo/display/n6512f47c
Brandy,Dede,Adjunct Assistant Professor,,Adjunct Assistant Professor,Educational Psychology,https://scholars.library.tamu.edu/vivo/display/n706a275a
Shannon,Deer,Clinical Assistant Professor,"Dr. Shannon Deer is the Interim Associate Dean for Undergraduate Programs.  Dr. Deer teaches in the college's MBA programs and conducts executive development training for leading companies.  Dr. Deer's work emphasizes the importance of corporate social responsibility and the intersection of business and solutions to social challenges.  Specifically, she explores ways businesses can leverage human resource development tools to invest in women in order to positively impact the business, community, and individual families.  Her studies exploring women's experiences exiting the sex trade have been published in top peer-reviewed journals in learning and human resource development.  <br /><br /><br /><br />Dr. Deer also teaches energy finance and modeling.  Dr. Deer developed the energy accounting course offered to undergrad and masters students and founded the Certificate in Energy Accounting (CEA) in Mays.",Clinical Assistant Professor||Clinical Assistant Professor||Assistant Dean for Graduate Programs,Accounting||Mays Business School||Mays Business School,https://scholars.library.tamu.edu/vivo/display/n2c2cfc58
William,Dees,Senior Professor,,,,https://scholars.library.tamu.edu/vivo/display/n27f7a2f5
Justine,Degruyter,Lecturer,,Lecturer,Chemistry,https://scholars.library.tamu.edu/vivo/display/n7e3cc40e
Sara,Del Carmen,Adjunct Instructor,,Adjunct Instructor,"Criminology, Cj & Strategic Studies",https://scholars.library.tamu.edu/vivo/display/n1421c626
Casey,Delaney,Adjunct Professor,,Adjunct Professor,School of Law,https://scholars.library.tamu.edu/vivo/display/n245d7d78
Adolfo,Delgado,Associate Professor,"My research focuses on rotordynamics, structural vibration, energy dissipation mechanisms, thin film lubrication and fluid-structure interaction applied to the design, modeling and improvement of rotating machinery systems and components.",Faculty Affiliate||Associate Professor,Mechanical Engineering||Energy Institute,https://scholars.library.tamu.edu/vivo/display/ne9466771
Timothy,Dellapenna,Associate Professor,,Associate Professor,Marine and Coastal Environmental Science,https://scholars.library.tamu.edu/vivo/display/na95a92db
Kira,Delmore,Assistant Professor,"We study the processes of adaptation and speciation using hybrid zones and variation within single species. These systems are ideal for studying evolutionary processes; they allow us to concentrate on the early stages of speciation and work in natural contexts. Our work focuses specifically on the phenotypic and genetic basis of adaptation and speciation and is aided by recent advances in several fields. For example, we are very interested in the role differences in seasonal migration play in speciation and the genetic basis of this behaviour syndrome. Advances in animal movement ecology and genomic are allowing answer questions we never thought possible. Much of our work focuses on single systems but wherever possible we expand out into larger comparative work using data from museum specimens and sequence archives.",Assistant Professor,Biology,https://scholars.library.tamu.edu/vivo/display/n3c3b0dde
Michal,Demkowicz,Associate Professor,,Faculty Affiliate||Associate Professor,Energy Institute||Materials Science and Engineering,https://scholars.library.tamu.edu/vivo/display/n47f570b0
Alan,Demlow,Professor,,Professor,Mathematics,https://scholars.library.tamu.edu/vivo/display/n23d9f5a3
Youjun,Deng,Associate Professor,"The research focus of soil clay mineralogy group is to reveal molecular mechanisms of  1) reactions of soil/ clay minerals with natural and synthetic organic, inorganic, and biological compounds with environmental and industrial importance, e.g., mycotoxins, emerging organic contaminants, organoclays, modification of clay minerals; and 2) soil/clay mineral transformation under various natural and anthropogenic conditions, e.g., agriculture, forest, desert, wetland, polar region, and Mars soils,  at nuclear waste storage sites and repositories, mine tailing and dump sites. We are also adapting and developing advanced spectroscopic and microscopic methods and molecular modeling for soil/clay mineralogy studies.",Associate Professor,Soil and Crop Sciences,https://scholars.library.tamu.edu/vivo/display/n0c13cfe6
Christian,Dennie,Adjunct Professor,,Adjunct Professor,School of Law,https://scholars.library.tamu.edu/vivo/display/n12f909b7
Sarah,Dennis,Assistant Professor,,Assistant Professor,University Libraries,https://scholars.library.tamu.edu/vivo/display/n0b9da9d0
Darren,Depoy,Professor,,Professor,Physics and Astronomy,https://scholars.library.tamu.edu/vivo/display/n69452fb7
James,Derr,Professor,"Dr. Derr has directed worldwide research projects in wildlife and livestock conservation genetics for over 25 years. This body of work has produced more than 75 scientific publications reporting original research on many different species. For example, Dr. Derr has authored articles on bison, dolphins, domestic and wild cats, elk, pronghorn antelope, sheep, quail, white-tailed and mule deer, whales, domestic livestock and multiple fish species. All of this conservation genetics research has been funded through international, federal, state, NGO and private funding sources including the DSC and DSC Foundation. In addition, Dr. Derr is an impactful educator through his teaching efforts in undergraduate genetic courses to students interested in medicine (human and veterinary) and he has mentored over 100 graduate students in the fields of conservation / population genetics and animal health. One of Dr. Derr's most popular courses is ""Wildlife Conservation Medicine"". This course is designed for first- and second-year veterinary students to travel to South Africa and Botswana to learn how to chemically immobilize, treat and transport everything from African plains game to dangerous game. His efforts with these young veterinarians ensure they graduate with specialized knowledge and skills to handle health care and conservation issues with the tremendous number of exotic wildlife species here in the State of Texas on private ranches and preserves.",Professor,Veterinary Pathobiology,https://scholars.library.tamu.edu/vivo/display/nebe46b3d
Paul,Derry,Assistant Professor,,Assistant Professor,Institute of Biosciences and Technology,https://scholars.library.tamu.edu/vivo/display/nbc3878a6
Annette,Desantiago,Clinical Assistant Professor,,Clinical Assistant Professor,Cop - Pharmacy Practice,https://scholars.library.tamu.edu/vivo/display/n951486b0
Andrew,Dessler,Professor,,Professor,Atmospheric Sciences,https://scholars.library.tamu.edu/vivo/display/n8a685149
Nicolaas,Deutz,Professor,"My  research background and expertise focus on nutrition, metabolism, and physiology studies involving the use of stable isotope methodologies, both in humans and animals. I also have extensive experience with isotopic calculations, validation and data interpretation.",Professor||Director and Professor,Health and Kinesiology||Center for Translational Research in Aging and Longevity,https://scholars.library.tamu.edu/vivo/display/nbd596655
Eswara-Reddy,Deva,Associate Professor,,Associate Professor,University Libraries,https://scholars.library.tamu.edu/vivo/display/nc84d66d2
Timothy,Devarenne,Associate Professor,"We study the biochemical and molecular mechanisms underlying the control of programmed cell death (PCD) in plants and how PCD is manipulated during plant-pathogen interactions. Specifically we study the interaction between tomato and Pseudomonas syringae pv. tomato (Pst) the causative agent of bacterial spot disease. Resistance to this disease is conferred by the host Pto serine/threonine protein kinase which recognizes Pst strains expressing the type III effector protein AvrPto.<br /><br />PCD is induced during both resistant and susceptible plant-pathogen interactions. In the case of a resistant interaction, PCD induced by the plant, known as the hypersensitive response (HR), and acts to limit the spread of the pathogen. In susceptible plant-pathogen interactions plant PCD is induced by the pathogen after infection leading to death of the host. Studies have indicated that the genes controlling host PCD during the HR are the same genes that are manipulated by the pathogen during susceptible interactions. The difference lies in the timing of controlling the activity of these genes; HR PCD occurs within 12 hours of pathogen recognition while pathogen-induced PCD occurs several days after infection.<br /><br /><br /><br />Many of these genes that control plant PCD are serine/threonine (S/T) protein kinase. We are interested in studying a specific class of S/T protein kinases that control PCD in plants called AGC kinases and how they are regulated in both resistant and susceptible plant-pathogen interactions. Additionally, when plants are not attacked by pathogens, PCD is a process that requires constant control so that cell death does not occur. We are looking at the signaling mechanisms and pathways employed to keep PCD under check in non-pathogen challenged plants.",Faculty Affiliate||Associate Professor,Energy Institute||Biochemistry and Biophysics,https://scholars.library.tamu.edu/vivo/display/n11411275
Michael,Deveau,Clinical Associate Professor,,Clinical Associate Professor,Small Animal Clinical Sciences,https://scholars.library.tamu.edu/vivo/display/n67ff7535
Jane,Dever,Professor,"Research focus includes developing new and differentiated germplasm with enabling technology, and screening exotic germplasm collections for native traits to be used in breeding cotton.  Breeding targets include improved fiber quality, drought tolerance, nematode resistance, disease tolerance to Verticillium dahliae, Theilaviopsis basicola, and Xanthamonas (bacterial blight) and yield component stability in high fiber quality lines.  Fiber quality research includes not only improvement of heritable physical fiber properties, but also enhanced utilization facilitated by positive genetic/agronomic/processing interactions.  Incorporating native traits into cultivars through classical breeding for organic production and preserving genetic resources in a recombinant DNA environment is a primary goal of the breeding program.",Professor||Professor,Soil and Crop Sciences||Lubbock Research and Extension Center,https://scholars.library.tamu.edu/vivo/display/n68ed4a06
Cynthia,Devers,Professor,"My research focuses on corporate governance, executive compensation, M&A, and social evaluations. I draw on behavioral decision and social psychological perspectives to examine the roles governance and social evaluations play in individual perceptions, individual and group behavior,<br /><br />and organizational outcomes.",Professor,Management,https://scholars.library.tamu.edu/vivo/display/n8596a4c9
Ronald,Devore,Distinguished Professor,,Distinguished Professor,Mathematics,https://scholars.library.tamu.edu/vivo/display/n7bb081e2
Paula,Dewitte,Associate Professor of the Practice,,Associate Professor of the Practice||Faculty Affiliate||Member,Engineering Education Research Taskforce||Computer Science and Engineering||Institute for Engineering Education and Innovation,https://scholars.library.tamu.edu/vivo/display/n0ba9a55b
Michael,Dewsnap,Instructional Assistant Professor,"Research interests includes leadership in medicine, cognitive constructions of leadership, lived experience of medical training, and leadership development.",Instructional Assistant Professor,College of Medicine,https://scholars.library.tamu.edu/vivo/display/n38ff23cc
Rayna,Dexter,Instructional Assistant Professor,,Instructional Assistant Professor,Performance Studies,https://scholars.library.tamu.edu/vivo/display/nfa8743c4
Kalu A. Senarath,Dharmasena,Instructional Associate Professor,"Dr. Dharmasena's current research interests are in the areas of Consumer Economics, Behavioral Economics, Health and Nutrition Economics, Economics of Food Security, Food Environments and Obesity, Spatial Price Modeling, Probability Forecast Evaluation, and Market Integration and Price Discovery. He has extensive training in applied econometrics, both structural and time-series. He has expertise in organizing and analyzing extremely large consumer transaction data, such as Nielsen Homescan panel. Also, he is very comfortable with handling macroeconomic data and other national, state and county level data in modeling and forecasting work.",Instructional Associate Professor,Agricultural Economics,https://scholars.library.tamu.edu/vivo/display/n9b9b8bf6
Amit,Dhingra,Professor and Department Head,,Professor and Department Head,College of Agriculture and Life Sciences,https://scholars.library.tamu.edu/vivo/display/ncefd1f49
Steven,DiMarco,Professor,"Oceanographic observations using real-time technology: autonomous ocean vehicles, ship-based instrumentation, moored platforms. Coastal, shelf, slope processes; marginal seas, coastal eutrophication and hypoxia. Applications include: coastal hard, hypoxia, harmful algal blooms, oil spill, ocean acidification, aquaculture, climate change.",Professor,Oceanography,https://scholars.library.tamu.edu/vivo/display/n055e7711
Ana,Diaz Artiles,Assistant Professor,"Dr. Ana Diaz Artiles'  interests focus on human spaceflight and space system engineering, with strong emphasis on aerospace biomedical engineering, extravehicular activity, and human performance in altered gravity environments.",Assistant Professor,Aerospace Engineering,https://scholars.library.tamu.edu/vivo/display/n8c40b0a2
Michelle,Diaz,Clinical Associate Professor,My research and teaching interests are in the areas of auditing and accounting information systems.,Clinical Associate Professor||Clinical Associate Professor,Accounting||Mays Business School,https://scholars.library.tamu.edu/vivo/display/n26e26915
Viviana,Diaz,Lecturer,,Lecturer,Hispanic Studies,https://scholars.library.tamu.edu/vivo/display/n8de3bc21
Joshua,Dicaglio,Assistant Professor,"Professor DiCaglio's work studies the intersection of rhetoric, science, and mysticism as intersecting modes of attempting to make sense of our modernized, globalized world. His first book, Scale Theory: A Nondisciplinary Inquiry, was released in November 2021 with the University of Minnesota Press.",Assistant Professor,English,https://scholars.library.tamu.edu/vivo/display/nd33d9380
Sara,Dicaglio,Assistant Professor,,Assistant Professor,English,https://scholars.library.tamu.edu/vivo/display/nb1d7da98
Vanna,Dickerson,Assistant Professor,,Assistant Professor,Small Animal Clinical Sciences,https://scholars.library.tamu.edu/vivo/display/n7a39378b
Nancy,Dickey,Professor,"I currently serve as executive director of the Rural and Community Health Institute which serves in a consultative role with hospitals and communities across the state of Texas to facilitate best practices in patient safety, enhanced quality of care, and physician excellence. The Institute was created during her time of leadership at the Health Science Center and exemplifies the importance of translating sound policy into practice not only in traditional academic health centers but across the spectrum of practice sites and care delivery.",Executive Director||Professor||Faculty Fellow,Rural and Community Health Institute||Center for Health Systems and Design||Humanities in Medicine,https://scholars.library.tamu.edu/vivo/display/na188f0a0
Donald,Dickson,Professor,"My interests include textual editing, the devotional poetry of the seventeenth century, Renaissance Hermeticism, utopianism, and the history of science in the seventeenth century.",Professor,English,https://scholars.library.tamu.edu/vivo/display/na49b63df
Michael,Dickson,Lecturer,,Lecturer,Engineering Technology and Industrial Distribution,https://scholars.library.tamu.edu/vivo/display/nd9f4691f
Thomas,Diekwisch,Professor and Department Head,"Stem Cells and Tissue Engineering  In previous studies we have generated and characterized stem cell populations in dental tissues. We have also developed novel extracellular matrix-based scaffold materials. Currently we are performing a number of studies to examine the use of stem cells and scaffolds to regenerate periodontal and other tissues. <br /><br /><br /><br />Chromatin, Epigenetics, and microRNAs Twenty years ago, we discovered the cp27 chromatin factor in our laboratory. This factor is part of the large SRCAP chromatin complex that plays important roles in development and cell division. A second aspect of our epigenetics research is focused on the role of histone methylation in odontogenic tissue differentiation and disease.    <br /><br /><br /><br />Periodontics  Our lab works on the development and differentiation of periodontal tissues as a means to generate new progenitor based approaches for the regeneration of periodontal tissues.  More recently, we have conducted studies to understand how epigenetic changes affect periodontal tissue response to pathogens. <br /><br /><br /><br />Enamel Formation and Evolution  Our lab is interested in determining the mechanisms of enamel crystal formation. We are asking how mineral ions are transported toward the enamel layer and what factors govern the nucleation and elongation of enamel crystals. Using an evolutionary biology approach, we are studying the relationship between the amelogenin molecule and enamel mechanical properties.<br /><br /><br /><br />Evolution and Development  Our lab focuses on the evolution of jaws and teeth, especially tooth enamel and periodontal ligament. Specifically, we are interested in the effects of changes in the amelogenin protein on the evolution of the amazing physical properties of enamel. We are also trying to understand how the non-mineralized state of the periodontal ligament evolved in vertebrates.","Director, Center for Craniofacial Research and Diagnosis||Bernhard Gottlieb Endowed Chair for Craniofacial Research||Professor and Head, Department of Periodontics",College of Dentistry||College of Dentistry||College of Dentistry,https://scholars.library.tamu.edu/vivo/display/n52565fe6
